"Site","Year","SiteYear","Latitude","Longitude","Elevation","Region","RegionRank","lambda","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"North Fork Middle Fork Tule","2013","North Fork Middle Fork Tule:2013",36.20081,-118.6509,1284,"C1",3,2.7,-2.75,0.9,3.42,1.27,1.13,-7.61,1.82,-1.86,0.87,0.92,1.04,1473,119,462,680526,0.000174864736982863
"North Fork Middle Fork Tule","2014","North Fork Middle Fork Tule:2014",36.20081,-118.6509,1284,"C1",3,1.78,-3.71,0.97,3.67,1.2,1.13,-6.36,1.82,-1.82,0.87,0.97,1.43,1473,49,428,630444,7.77230015671495e-05
"North Fork Middle Fork Tule","2015","North Fork Middle Fork Tule:2015",36.20081,-118.6509,1284,"C1",3,1.98,-4.44,1.01,4.32,1.12,1.13,-7.88,1.82,-2.82,0.87,0.67,1.24,1473,142,46,67758,0.0020956934974468
"Redwood Creek","2010","Redwood Creek:2010",36.68952,-118.9096,1677,"C1",3,1.31,-4.01,0.88,3.43,1.28,1.13,-9.13,1.82,-2.63,0.87,-0.04,1.18,1289,87,596,768244,0.000113245271033682
"Redwood Creek","2011","Redwood Creek:2011",36.68952,-118.9096,1677,"C1",3,5.01,-4.06,0.91,3.31,1.27,1.13,-9.99,1.82,-3.2,0.87,2.35,1.28,1289,34,19,24491,0.00138826507696705
"Redwood Creek","2012","Redwood Creek:2012",36.68952,-118.9096,1677,"C1",3,1.66,-3.67,0.87,3.63,1.21,1.13,-7.6,1.82,-2.21,0.87,1.35,1.36,1289,54,1308,1686012,3.20282417918734e-05
"Redwood Creek","2013","Redwood Creek:2013",36.68952,-118.9096,1677,"C1",3,1.49,-3.01,0.8,3.12,1.32,1.13,-7.62,1.82,-2.36,0.87,-0.11,0.92,1289,353,1493,1924477,0.000183426458201371
"Redwood Creek","2014","Redwood Creek:2014",36.68952,-118.9096,1677,"C1",3,1.85,-3.97,0.86,3.36,1.25,1.13,-8.26,1.82,-2.98,0.87,1.93,1.16,1289,98,265,341585,0.000286897843874877
"Wawona","2010","Wawona:2010",37.53822,-119.6514,1208,"C2",4,1.47,-4.22,1.06,4.24,1.16,1.13,-7.86,1.82,-1.75,0.87,-0.23,1,1721,264,546,939666,0.000280950891061292
"Wawona","2011","Wawona:2011",37.53822,-119.6514,1208,"C2",4,1.62,-4.27,1.09,4.12,1.15,1.13,-7.86,1.82,-2.15,0.87,0.39,1.2,1721,117,728,1252888,9.3384245040259e-05
"Wawona","2012","Wawona:2012",37.53822,-119.6514,1208,"C2",4,2.73,-3.88,1.05,4.44,1.09,1.13,-7.49,1.82,-1.7,0.87,0.37,1.09,1721,321,728,1252888,0.000256208056905326
"Wawona","2013","Wawona:2013",37.53822,-119.6514,1208,"C2",4,2.19,-3.22,0.97,3.93,1.2,1.13,-7.8,1.82,-1.36,0.87,0.17,1.22,1721,260,4523,7784083,3.34014937918827e-05
"Wawona","2014","Wawona:2014",37.53822,-119.6514,1208,"C2",4,2.5,-4.19,1.04,4.17,1.14,1.13,-7.48,1.82,-1.46,0.87,2.44,1.54,1721,47,3535,6083735,7.72551730146037e-06
"Wawona","2015","Wawona:2015",37.53822,-119.6514,1208,"C2",4,4.3,-4.92,1.08,4.83,1.06,1.13,-7.33,1.82,-3.37,0.87,2.16,2.11,1721,104,271,466391,0.000222988865565588
"Buck Meadows","2010","Buck Meadows:2010",37.77722,-120.0633,830,"C2",4,2.13,-3.79,0.97,4.77,0.99,1.13,-8.31,1.82,-2.24,0.87,0.75,1.25,1956,29,28,54768,0.000529506281040023
