"SiteYear","Site","Year","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Kitchen Creek:2012","Kitchen Creek","2012",-4.34427254779385,0.522753931251533,1.93384643474692,0.610586712311047,1.11008917792899,-7.08575507227329,1.84078666005448,-1.04014906271142,0.857155887096075,0,0,2514,0,461,1158954,0
"Kitchen Creek:2013","Kitchen Creek","2013",-3.34027405147795,0.522753931251533,NA,NA,NA,-7.96078042736888,1.84078666005448,-0.773779220619178,0.857155887096075,0,0,2514,0,211,530454,0
"Little Jameson Creek:2010","Little Jameson Creek","2010",-0.87577298828572,0.522753931251533,2.56078005174628,0.610586712311047,1.11008917792899,-8.16040255021593,1.84078666005448,-0.664827129149583,0.857155887096075,0.0815833333333347,1.03361493103693,2092,240,18796,39321232,6.1035727466525e-06
"Little Jameson Creek:2011","Little Jameson Creek","2011",-1.54920050356206,0.522753931251533,2.3964286575758,0.610586712311047,1.11008917792899,-9.09217705755511,1.84078666005448,-1.81543362651497,0.857155887096075,1.54052631578947,1.29129338126207,2092,19,19256,40283552,4.71656521252148e-07
"Little Jameson Creek:2012","Little Jameson Creek","2012",-1.67718589338067,0.522753931251533,2.23451291688333,0.610586712311047,1.11008917792899,-8.002204253077,1.84078666005448,-0.626549950996589,0.857155887096075,2.88166666666667,1.26290801987582,2092,6,36314,75968888,7.89797002162254e-08
"Little Jameson Creek:2013","Little Jameson Creek","2013",-1.31860969457231,0.522753931251533,2.40098741149914,0.610586712311047,1.11008917792899,-6.65336789724649,1.84078666005448,-0.792250955201614,0.857155887096075,3.38666666666667,2.0579682537234,2092,3,31820,66567440,4.50670778386551e-08
"Little Jameson Creek:2014","Little Jameson Creek","2014",-0.77094904415828,0.522753931251533,2.58733771251852,0.610586712311047,1.11008917792899,-6.58244264278847,1.84078666005448,-0.792289222660777,0.857155887096075,0,0,2092,0,15197,31792124,0
"Little Jameson Creek:2015","Little Jameson Creek","2015",-2.10943755889455,0.522753931251533,2.2572653295939,0.610586712311047,1.11008917792899,-6.9224191136901,1.84078666005448,-0.795657828015136,0.857155887096075,0.93483411337456,0.788302100102908,2092,85,9786,20472312,4.1519492278156e-06
"Mill Creek:2010","Mill Creek","2010",-6.68864224211464,0.522753931251533,NA,NA,NA,-4.75662182633314,1.84078666005448,-0.671068370353661,0.857155887096075,0,0,1557,0,2325,3620025,0
"Mill Creek:2011","Mill Creek","2011",-4.80425760480106,0.522753931251533,0.446493017491518,0.610586712311047,1.11008917792899,-7.22493636041911,1.84078666005448,-1.59255555367679,0.857155887096075,1.15642857142857,1.17913010401643,1557,14,1986,3092202,4.52751793058798e-06
"Mill Creek:2012","Mill Creek","2012",-2.4648433444125,0.522753931251533,2.57487814043304,0.610586712311047,1.11008917792899,-7.15362276980127,1.84078666005448,-1.28742910631497,0.857155887096075,1.79479166666667,1.58518404808781,1557,48,789,1228473,3.9072897817046e-05
"Mill Creek:2015","Mill Creek","2015",-3.18912704501338,0.522753931251533,2.22813907274496,0.610586712311047,1.11008917792899,-7.57687539964353,1.84078666005448,-2.70393475117336,0.857155887096075,2.73312779755094,1.35597034384551,1557,219,6,9342,0.0234425176621708
"North Fork Middle Fork Tule:2010","North Fork Middle Fork Tule","2010",-2.99039925429974,0.522753931251533,1.83362447240441,0.610586712311047,1.11008917792899,-10.402933110816,1.84078666005448,-3.52239865275479,0.857155887096075,0.140517241379311,1.10235063421316,1473,58,12,17676,0.00328128535867843
